"Genes,Type"
"TRPM4,Up"
"ELL3,Up"
"RORC,Up"
"HPN,Up"
"RAB17,Up"
"TMSB15A,Up"
"SLC25A10,Up"
"PABPC1L2A,Up"
"UCK2,Up"
"ESRP2,Up"
"PRAC1,Up"
"PTRHD1,Up"
"FBP1,Up"
"FOXA1,Up"
"THBS4,Up"
"PYCR1,Up"
"TLCD1,Up"
"SYNE4,Up"
"DUS1L,Up"
"HOXB13,Up"
"LSR,Up"
"DNAH5,Up"
"BIK,Up"
"FFAR2,Up"
"SMPDL3B,Up"
"GAL,Up"
"MARCKSL1,Up"
"CLDN3,Up"
"SLC43A1,Up"
"SLC19A1,Up"
"B3GAT1,Up"
"DBNDD1,Up"
"CLDN8,Up"
"PMM2,Up"
"MYO5C,Up"
"MLPH,Up"
"PDIA5,Up"
"GCNT1,Up"
"CANT1,Up"
"C9ORF152,Up"
"C15ORF48,Up"
"SMCO4,Up"
"FEV,Up"
"LRATD1,Up"
"IL17RB,Up"
"GPR160,Up"
"LRRC8E,Up"
"CGREF1,Up"
"SMIM22,Up"
"EGF,Up"
"NECTIN2,Up"
"PRSS8,Up"
"CERS4,Up"
"FZD8,Up"
"CLDN7,Up"
"TSPAN1,Up"
"RHPN2,Up"
"KRT18,Up"
"TSTD1,Up"
"SLC12A2,Up"
"APOF,Up"
"HLCS,Up"
"TMTC4,Up"
"AP1M2,Up"
"SPTBN2,Up"
"CORO1B,Up"
"RAB25,Up"
"STEAP4,Up"
"CREB3L4,Up"
"SLC12A8,Up"
"CLDN4,Up"
"CD320,Up"
"GLMP,Up"
"ENTPD5,Up"
"PLA2G2A,Up"
"TRIM36,Up"
"MS4A8,Up"
"TMC4,Up"
"FAM155B,Up"
"CRYBG1,Up"
"COL9A2,Up"
"C2ORF72,Up"
"POPDC3,Up"
"COLEC12,Up"
"STX19,Up"
"BHLHA15,Up"
"GJB2,Up"
"PTPRN2,Up"
"VSTM2L,Up"
"FAM174B,Up"
"KRTCAP3,Up"
"SEC23B,Up"
"ATP2C1,Up"
"SLC44A4,Up"
"FAM189A2,Up"
"C1ORF53,Up"
"ISG20,Up"
"OR51E2,Up"
"CBLC,Up"
"PPM1H,Up"
"DCXR,Up"
"TRIM58,Up"
"ALCAM,Up"
"CHMP4C,Up"
"TGM3,Up"
"TMEM125,Up"
"RAP1GAP2,Up"
"LUZP2,Up"
"SERINC5,Up"
"PRAC2,Up"
"TRIB3,Up"
"UAP1,Up"
"GALNT7,Up"
"KRT8,Up"
"NEDD4L,Up"
"PRR15L,Up"
"ABCC4,Up"
"GREM2,Up"
"ANO7,Up"
"RAC3,Up"
"SLC7A11,Up"
"FYB2,Up"
"SLC6A14,Up"
"EPN3,Up"
"GJB1,Up"
"TM7SF2,Up"
"DHCR24,Up"
"HID1,Up"
"PLEKHH1,Up"
"MAL2,Up"
"SPOCK1,Up"
"EPOP,Up"
"LPAR2,Up"
"PYCR3,Up"
"DLX1,Up"
"C1ORF116,Up"
"STEAP1,Up"
"SH3GL2,Up"
"SREBF1,Up"
"ASPHD1,Up"
"GPT2,Up"
"GDF15,Up"
"NLRP12,Up"
"HOXC6,Up"
"HIPK4,Up"
"ARFGEF3,Up"
"TMEM178A,Up"
"ANXA3,Up"
"MMP26,Up"
"TTC36,Up"
"CTHRC1,Up"
"SLC38A11,Up"
"LFNG,Up"
"STEAP2,Up"
"RAB3B,Up"
"FAM222A,Up"
"DHDH,Up"
"ADAM7,Up"
"ALDH3B2,Up"
"PLA1A,Up"
"SPINT2,Up"
"DSC2,Up"
"NEK5,Up"
"FOLH1,Up"
"IGSF5,Up"
"PEX10,Up"
"SLC45A3,Up"
"EPCAM,Up"
"GPR158,Up"
"GABRB3,Up"
"STYK1,Up"
"PLS1,Up"
"PRR36,Up"
"CLGN,Up"
"GJB6,Up"
"RPS6KC1,Up"
"ELOVL7,Up"
"HSH2D,Up"
"AMD1,Up"
"EBF2,Up"
"PODXL2,Up"
"ZG16B,Up"
"ZDHHC12,Up"
"NKX3-1,Up"
"FRMD1,Up"
"DACT2,Up"
"BMPR1B,Up"
"SIM2,Up"
"QPCTL,Up"
"C2,Up"
"PGC,Up"
"PPP1R1B,Up"
"FRMPD3,Up"
"AMACR,Up"
"TPD52,Up"
"NAALADL2,Up"
"HCAR1,Up"
"MUC2,Up"
"SLC27A2,Up"
"KLK12,Up"
"TSPAN8,Up"
"FAM3D,Up"
"CENPM,Up"
"LIPH,Up"
"IRX4,Up"
"SERHL2,Up"
"ARHGEF26,Up"
"TC2N,Up"
"PGM3,Up"
"DNASE2B,Up"
"SMIM32,Up"
"TRPM8,Up"
"CDCA8,Up"
"MZB1,Up"
"RDH16,Up"
"TMC5,Up"
"AMDHD2,Up"
"FAM189A1,Up"
"DGKK,Up"
"PROC,Up"
"PPM1E,Up"
"SLC12A1,Up"
"CHRM3,Up"
"ASPN,Up"
"NKAIN1,Up"
"KRTAP11-1,Up"
"TMEM238,Up"
"CENPN,Up"
"ILDR1,Up"
"TSPAN13,Up"
"AFMID,Up"
"RET,Up"
"MNX1,Up"
"SEC11C,Up"
"DPP4,Up"
"EEF1A2,Up"
"DLX2,Up"
"CTH,Up"
"CBLN1,Up"
"RGS17,Up"
"ERVH48-1,Up"
"FAM71E1,Up"
"TMEM121B,Up"
"ST6GALNAC1,Up"
"CCDC78,Up"
"KCNN2,Up"
"MYO6,Up"
"NPBWR1,Up"
"PTPRT,Up"
"COL28A1,Up"
"HOXC4,Up"
"NPY,Up"
"TFF1,Up"
"ZNF613,Up"
"ZIC2,Up"
"RTN1,Up"
"SFRP4,Up"
"CRISP2,Up"
"SLCO5A1,Up"
"SPTA1,Up"
"PLA2G7,Up"
"CYP1B1,Up"
"SLITRK5,Up"
"SLC45A2,Up"
"GLDC,Up"
"AGR2,Up"
"NKX2-3,Up"
"HHLA2,Up"
"CCL18,Up"
"INSM1,Up"
"KCNN4,Up"
"DKK4,Up"
"PTK6,Up"
"GOLT1A,Up"
"ELOVL2,Up"
"KCNN1,Up"
"C14ORF39,Up"
"HEPACAM2,Up"
"SLCO1A2,Up"
"ROPN1B,Up"
"IAPP,Up"
"ZYG11A,Up"
"TMEM45B,Up"
"TAC1,Up"
"FABP5,Up"
"SGIP1,Up"
"ALOX15,Up"
"COL2A1,Up"
"ERG,Up"
"SCD,Up"
"LHFPL3,Up"
"CCSER1,Up"
"SLCO1B3,Up"
"SMIM31,Up"
"SLC26A4,Up"
"CCDC154,Up"
"SLC10A4,Up"
"ISX,Up"
"DAZ4,Up"
"CCN3,Up"
"CBLIF,Up"
"CPZ,Up"
"MAS1L,Up"
"CLEC18C,Up"
"GNG13,Up"
"TDRD1,Up"
"SLC22A12,Up"
"KCNH8,Up"
"GAB4,Up"
"PCDH8,Up"
"KRT35,Up"
"WT1,Up"
"LRRC31,Up"
"LMX1A,Up"
"OR8G1,Up"
"CLDN2,Up"
"NWD2,Up"
"RAD54L,Up"
"EZH2,Up"
"CWH43,Up"
"TEX45,Up"
"FAM83E,Up"
"TFF3,Up"
"SYT3,Up"
"CRYBA2,Up"
"MFAP5,Up"
"AOC1,Up"
"EN2,Up"
"TERB2,Up"
"ZNF497,Up"
"KRTAP10-12,Up"
"TIMM23,Up"
"SPAG6,Up"
"SERPINA3,Up"
"FLG2,Up"
"FAM3B,Up"
"OR51E1,Up"
"MAB21L3,Up"
"AGR3,Up"
"TMEM52B,Up"
"DEFB127,Up"
"CHI3L1,Up"
"GREM1,Up"
"KRTAP4-7,Up"
"TSPYL6,Up"
"SOX14,Up"
"CDC14C,Up"
"SPIC,Up"
"PTPN20,Up"
"ATP8A2,Up"
"SNAP91,Up"
"TMED6,Up"
"PIP,Up"
"BMP5,Down"
"GATA5,Down"
"OLFML1,Down"
"SBSPON,Down"
"NELL2,Down"
"FXYD6,Down"
"CXCL13,Down"
"FOXF2,Down"
"KCNJ3,Down"
"SMTNL2,Down"
"DPYSL2,Down"
"PRKCB,Down"
"MAP1B,Down"
"WNT2,Down"
"PAGE4,Down"
"SEMA3E,Down"
"GSTM5,Down"
"TSLP,Down"
"DCN,Down"
"LGR6,Down"
"LINGO2,Down"
"CXCL12,Down"
"C1QTNF1,Down"
"SERPINA5,Down"
"CES1,Down"
"PTGS1,Down"
"TRHDE,Down"
"ASPA,Down"
"KRT222,Down"
"CHST6,Down"
"TGFBR3,Down"
"JAZF1,Down"
"CNRIP1,Down"
"SGCD,Down"
"ADAMTS5,Down"
"FBN1,Down"
"S100A4,Down"
"FZD7,Down"
"CFD,Down"
"GPC6,Down"
"GLIS3,Down"
"FXYD1,Down"
"PCSK5,Down"
"IGF2,Down"
"QSOX1,Down"
"IGF1,Down"
"FAT4,Down"
"RNF112,Down"
"RHOJ,Down"
"ADGRD1,Down"
"NXPE3,Down"
"ANKRD35,Down"
"RGL1,Down"
"CA3,Down"
"CLMP,Down"
"LRRN3,Down"
"PNMA8A,Down"
"ETV5,Down"
"TBX5,Down"
"GNAO1,Down"
"CCDC8,Down"
"NDNF,Down"
"COL1A2,Down"
"SPON1,Down"
"SORCS2,Down"
"GPX8,Down"
"CCDC80,Down"
"ZNF536,Down"
"SNAI2,Down"
"RAB40A,Down"
"PAK3,Down"
"C1QTNF7,Down"
"GLT1D1,Down"
"TMEM200B,Down"
"VCL,Down"
"CDC42EP3,Down"
"PLAC9,Down"
"F10,Down"
"IGFBP6,Down"
"TMEM37,Down"
"PEG3,Down"
"PRTFDC1,Down"
"KATNAL1,Down"
"DKK3,Down"
"VSTM4,Down"
"PLPP3,Down"
"LPIN1,Down"
"SMOC1,Down"
"TMEM100,Down"
"COL6A2,Down"
"STAC,Down"
"RND3,Down"
"RASL12,Down"
"WFDC1,Down"
"HMGCLL1,Down"
"RARRES2,Down"
"MASP1,Down"
"GPR155,Down"
"CHN1,Down"
"ATRNL1,Down"
"SPARC,Down"
"SMR3B,Down"
"HS3ST3A1,Down"
"DENND2A,Down"
"FAM107A,Down"
"SYT11,Down"
"ADRA1A,Down"
"JCAD,Down"
"TMEM45A,Down"
"CLIP3,Down"
"LINC00672,Down"
"PTH1R,Down"
"ECM1,Down"
"COL16A1,Down"
"NCAM1,Down"
"PDE1C,Down"
"OSR2,Down"
"MMP23B,Down"
"FBLN5,Down"
"DAAM2,Down"
"CAMK1G,Down"
"SPOCK3,Down"
"EGFLAM,Down"
"ITIH5,Down"
